Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","CAPC1005X04L",16.205195,10.134597,-90.000000,top
"C2","12pF","CAPC1005X04L",12.649195,10.134597,90.000000,top
"C3",".8pF","CAPC1005X04L",12.852395,5.537197,90.000000,top
"C4","100nF","CAPC1005X04L",3.327395,7.416797,0.000000,top
"C5","100nF","CAPC1005X04L",5.816595,1.447797,0.000000,top
"C6","NC","CAPC1005X04L",13.944595,7.264397,180.000000,top
"C7","100pF","CAPC1005X04L",13.944595,8.153397,180.000000,top
"C8","100nF","CAPC1005X04L",11.760195,10.134597,-90.000000,top
"C9","4.7uF","CAPC1608X06L",3.327395,8.458197,-90.000000,top
"C10","1.0uF","CAPC1608X06L",6.299914,13.441677,-140.000000,top
"C11","12pF","CAPC1005X04L",2.616195,5.994397,90.000000,top
"C12","12pF","CAPC1005X04L",1.193795,2.844797,0.000000,top
"L1","3.9nH","INDC1005X04L",14.274795,5.029197,90.000000,top
"L2","10uH","INDC1608X06L",6.781795,10.495361,-90.000000,top
"L3","15nH","INDC1005X04L",5.614114,12.578077,40.000000,top
"REF**","VIA-0.6096","VIA-0.6096",8.051800,14.401800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",15.240000,8.102600,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",5.664200,2.537200,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",11.760200,11.480800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",16.611600,0.736600,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",16.154400,8.788400,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",4.775200,14.401800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",14.757400,4.191000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",15.646400,3.149600,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",1.752600,8.458200,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",16.611600,4.191000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",2.006600,7.442200,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",12.598400,11.480800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",5.334000,0.609600,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",3.403600,10.083800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",16.611600,12.954000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",16.611600,14.401800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",11.049000,10.642600,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",0.635000,9.321800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",0.635000,12.954000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",13.589000,11.658600,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",0.635000,0.635000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",1.574800,5.334000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",14.685190,5.886800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",0.635000,2.032000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",13.817600,0.736600,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",8.051800,9.575800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",11.760200,11.480800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",7.975600,12.954000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",0.635000,14.401800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",11.150600,14.401800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",3.251200,12.954000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",11.150600,12.954000,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",15.240000,7.264400,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",16.611600,5.892800,0.000000,top
"REF**","VIA-0.6096","VIA-0.6096",5.740400,9.499600,0.000000,top
"U1","nrf51822-qfax","nrf51-qfax-1ep-vias",8.661395,5.537197,0.000000,top
"X1","Crystal-4","BT-XTAL_2016",14.427195,10.134597,-90.000000,top
"X2","32.768kHz","XTAL_3215",1.193795,5.156197,90.000000,top
